T: 1.150000   E_avg: -66.893300   E_exp: -70.115316   Diff: 3.222016   M^2_avg: 565.924400   M^2_exp: 569.239136
T: 1.160000   E_avg: -66.525700   E_exp: -69.732212   Diff: 3.206512   M^2_avg: 565.812800   M^2_exp: 560.768473
T: 1.170000   E_avg: -66.181700   E_exp: -69.351733   Diff: 3.170033   M^2_avg: 545.871600   M^2_exp: 552.565454
T: 1.180000   E_avg: -65.533700   E_exp: -68.973894   Diff: 3.440194   M^2_avg: 528.694000   M^2_exp: 544.618440
T: 1.190000   E_avg: -65.347700   E_exp: -68.598706   Diff: 3.251006   M^2_avg: 530.429600   M^2_exp: 536.916428
T: 1.200000   E_avg: -64.920100   E_exp: -68.226179   Diff: 3.306079   M^2_avg: 526.375200   M^2_exp: 529.449005
T: 1.210000   E_avg: -64.491300   E_exp: -67.856321   Diff: 3.365021   M^2_avg: 517.734800   M^2_exp: 522.206314
T: 1.220000   E_avg: -64.196900   E_exp: -67.489138   Diff: 3.292238   M^2_avg: 509.444800   M^2_exp: 515.179018
T: 1.230000   E_avg: -63.667700   E_exp: -67.124635   Diff: 3.456935   M^2_avg: 514.565200   M^2_exp: 508.358266
T: 1.240000   E_avg: -63.609300   E_exp: -66.762814   Diff: 3.153514   M^2_avg: 509.178000   M^2_exp: 501.735662
T: 1.250000   E_avg: -63.192900   E_exp: -66.403677   Diff: 3.210777   M^2_avg: 496.789200   M^2_exp: 495.303242
T: 1.260000   E_avg: -62.669700   E_exp: -66.047223   Diff: 3.377523   M^2_avg: 481.248000   M^2_exp: 489.053443
T: 1.270000   E_avg: -62.325700   E_exp: -65.693452   Diff: 3.367752   M^2_avg: 476.634400   M^2_exp: 482.979078
T: 1.280000   E_avg: -61.957300   E_exp: -65.342359   Diff: 3.385059   M^2_avg: 472.941600   M^2_exp: 477.073318
T: 1.290000   E_avg: -61.673700   E_exp: -64.993941   Diff: 3.320241   M^2_avg: 468.063600   M^2_exp: 471.329669
T: 1.300000   E_avg: -61.370900   E_exp: -64.648193   Diff: 3.277293   M^2_avg: 467.620800   M^2_exp: 465.741950
T: 1.310000   E_avg: -60.992900   E_exp: -64.305109   Diff: 3.312209   M^2_avg: 463.520800   M^2_exp: 460.304277
T: 1.320000   E_avg: -60.767300   E_exp: -63.964681   Diff: 3.197381   M^2_avg: 465.512800   M^2_exp: 455.011049
T: 1.330000   E_avg: -60.257700   E_exp: -63.626902   Diff: 3.369202   M^2_avg: 441.926000   M^2_exp: 449.856924
T: 1.340000   E_avg: -60.067300   E_exp: -63.291761   Diff: 3.224461   M^2_avg: 438.377600   M^2_exp: 444.836812
T: 1.350000   E_avg: -59.677700   E_exp: -62.959249   Diff: 3.281549   M^2_avg: 435.521600   M^2_exp: 439.945857
T: 1.360000   E_avg: -59.359700   E_exp: -62.629356   Diff: 3.269656   M^2_avg: 427.184400   M^2_exp: 435.179427
T: 1.370000   E_avg: -59.089300   E_exp: -62.302069   Diff: 3.212769   M^2_avg: 418.140800   M^2_exp: 430.533097
T: 1.380000   E_avg: -58.828900   E_exp: -61.977377   Diff: 3.148477   M^2_avg: 436.470800   M^2_exp: 426.002642
T: 1.390000   E_avg: -58.393700   E_exp: -61.655267   Diff: 3.261567   M^2_avg: 425.481200   M^2_exp: 421.584026
T: 1.400000   E_avg: -57.984100   E_exp: -61.335726   Diff: 3.351626   M^2_avg: 421.508400   M^2_exp: 417.273388
T: 1.410000   E_avg: -57.748100   E_exp: -61.018739   Diff: 3.270639   M^2_avg: 418.199200   M^2_exp: 413.067039
T: 1.420000   E_avg: -57.477700   E_exp: -60.704293   Diff: 3.226593   M^2_avg: 406.665600   M^2_exp: 408.961447
T: 1.430000   E_avg: -57.131700   E_exp: -60.392372   Diff: 3.260672   M^2_avg: 403.650800   M^2_exp: 404.953232
T: 1.440000   E_avg: -56.828500   E_exp: -60.082960   Diff: 3.254460   M^2_avg: 415.607600   M^2_exp: 401.039159
T: 1.450000   E_avg: -56.491700   E_exp: -59.776043   Diff: 3.284343   M^2_avg: 396.638800   M^2_exp: 397.216126
T: 1.460000   E_avg: -56.075700   E_exp: -59.471604   Diff: 3.395904   M^2_avg: 392.959200   M^2_exp: 393.481164
T: 1.470000   E_avg: -55.862100   E_exp: -59.169627   Diff: 3.307527   M^2_avg: 385.361600   M^2_exp: 389.831426
T: 1.480000   E_avg: -55.576500   E_exp: -58.870094   Diff: 3.293594   M^2_avg: 391.961200   M^2_exp: 386.264179
T: 1.490000   E_avg: -55.192100   E_exp: -58.572989   Diff: 3.380889   M^2_avg: 387.658400   M^2_exp: 382.776805
T: 1.500000   E_avg: -54.939300   E_exp: -58.278295   Diff: 3.338995   M^2_avg: 376.150800   M^2_exp: 379.366789
T: 1.510000   E_avg: -54.774500   E_exp: -57.985993   Diff: 3.211493   M^2_avg: 378.868000   M^2_exp: 376.031718
T: 1.520000   E_avg: -54.386900   E_exp: -57.696066   Diff: 3.309166   M^2_avg: 372.028400   M^2_exp: 372.769274
T: 1.530000   E_avg: -54.060900   E_exp: -57.408497   Diff: 3.347597   M^2_avg: 364.774000   M^2_exp: 369.577229
T: 1.540000   E_avg: -53.794500   E_exp: -57.123267   Diff: 3.328767   M^2_avg: 359.852000   M^2_exp: 366.453444
T: 1.550000   E_avg: -53.522900   E_exp: -56.840357   Diff: 3.317457   M^2_avg: 355.555600   M^2_exp: 363.395861
T: 1.560000   E_avg: -53.228100   E_exp: -56.559750   Diff: 3.331650   M^2_avg: 358.035200   M^2_exp: 360.402502
T: 1.570000   E_avg: -53.098100   E_exp: -56.281426   Diff: 3.183326   M^2_avg: 364.232000   M^2_exp: 357.471463
T: 1.580000   E_avg: -52.689700   E_exp: -56.005368   Diff: 3.315668   M^2_avg: 358.252400   M^2_exp: 354.600914
T: 1.590000   E_avg: -52.474500   E_exp: -55.731556   Diff: 3.257056   M^2_avg: 354.303600   M^2_exp: 351.789090
T: 1.600000   E_avg: -52.275300   E_exp: -55.459972   Diff: 3.184672   M^2_avg: 346.426400   M^2_exp: 349.034296
T: 1.610000   E_avg: -51.926100   E_exp: -55.190597   Diff: 3.264497   M^2_avg: 348.789600   M^2_exp: 346.334895
T: 1.620000   E_avg: -51.709700   E_exp: -54.923413   Diff: 3.213713   M^2_avg: 350.601600   M^2_exp: 343.689312
T: 1.630000   E_avg: -51.530500   E_exp: -54.658399   Diff: 3.127899   M^2_avg: 347.508400   M^2_exp: 341.096030
T: 1.640000   E_avg: -51.124900   E_exp: -54.395539   Diff: 3.270639   M^2_avg: 332.240400   M^2_exp: 338.553585
T: 1.650000   E_avg: -50.845300   E_exp: -54.134812   Diff: 3.289512   M^2_avg: 334.495200   M^2_exp: 336.060565
T: 1.660000   E_avg: -50.655700   E_exp: -53.876199   Diff: 3.220499   M^2_avg: 330.045200   M^2_exp: 333.615610
T: 1.670000   E_avg: -50.289300   E_exp: -53.619683   Diff: 3.330383   M^2_avg: 331.287200   M^2_exp: 331.217406
T: 1.680000   E_avg: -50.097700   E_exp: -53.365244   Diff: 3.267544   M^2_avg: 327.911200   M^2_exp: 328.864686
T: 1.690000   E_avg: -49.675700   E_exp: -53.112863   Diff: 3.437163   M^2_avg: 322.808400   M^2_exp: 326.556225
T: 1.700000   E_avg: -49.509700   E_exp: -52.862523   Diff: 3.352823   M^2_avg: 325.338800   M^2_exp: 324.290842
T: 1.710000   E_avg: -49.264100   E_exp: -52.614203   Diff: 3.350103   M^2_avg: 327.294400   M^2_exp: 322.067396
T: 1.720000   E_avg: -49.218100   E_exp: -52.367886   Diff: 3.149786   M^2_avg: 311.520800   M^2_exp: 319.884785
T: 1.730000   E_avg: -48.775700   E_exp: -52.123553   Diff: 3.347853   M^2_avg: 313.686400   M^2_exp: 317.741942
T: 1.740000   E_avg: -48.546900   E_exp: -51.881186   Diff: 3.334286   M^2_avg: 315.182400   M^2_exp: 315.637838
T: 1.750000   E_avg: -48.246900   E_exp: -51.640766   Diff: 3.393866   M^2_avg: 313.138800   M^2_exp: 313.571476
T: 1.760000   E_avg: -48.010500   E_exp: -51.402275   Diff: 3.391775   M^2_avg: 311.662400   M^2_exp: 311.541895
T: 1.770000   E_avg: -47.973300   E_exp: -51.165695   Diff: 3.192395   M^2_avg: 311.175200   M^2_exp: 309.548161
T: 1.780000   E_avg: -47.594900   E_exp: -50.931007   Diff: 3.336107   M^2_avg: 307.873200   M^2_exp: 307.589374
T: 1.790000   E_avg: -47.474500   E_exp: -50.698195   Diff: 3.223695   M^2_avg: 314.792000   M^2_exp: 305.664661
T: 1.800000   E_avg: -47.219300   E_exp: -50.467240   Diff: 3.247940   M^2_avg: 303.636400   M^2_exp: 303.773178
T: 1.810000   E_avg: -46.858900   E_exp: -50.238124   Diff: 3.379224   M^2_avg: 303.216800   M^2_exp: 301.914107
T: 1.820000   E_avg: -46.829300   E_exp: -50.010830   Diff: 3.181530   M^2_avg: 295.192400   M^2_exp: 300.086656
T: 1.830000   E_avg: -46.590100   E_exp: -49.785340   Diff: 3.195240   M^2_avg: 289.950800   M^2_exp: 298.290058
T: 1.840000   E_avg: -46.279300   E_exp: -49.561636   Diff: 3.282336   M^2_avg: 293.816000   M^2_exp: 296.523570
T: 1.850000   E_avg: -46.069300   E_exp: -49.339703   Diff: 3.270403   M^2_avg: 292.093200   M^2_exp: 294.786471
T: 1.860000   E_avg: -45.839300   E_exp: -49.119521   Diff: 3.280221   M^2_avg: 291.550400   M^2_exp: 293.078064
T: 1.870000   E_avg: -45.582900   E_exp: -48.901076   Diff: 3.318176   M^2_avg: 294.651600   M^2_exp: 291.397671
T: 1.880000   E_avg: -45.499700   E_exp: -48.684348   Diff: 3.184648   M^2_avg: 289.181200   M^2_exp: 289.744637
